Column Name,NaN Count,NaN Ratio,Data Type,Unique Values
loan_amnt,0,0,float64,
funded_amnt,0,0,float64,
funded_amnt_inv,0,0,float64,
term,0,0,object,[' 36 months' ' 60 months']
int_rate,0,0,float64,
installment,0,0,float64,
grade,0,0,int64,
sub_grade,0,0,int64,
emp_title,74,0.074,object,"['Accounts Payable Mgr' nan 'dental technician' 'Veterinarian'
 'Program Manager' 'Security Officer' 'Direct support provider'
 'Program specialist' 'ThinGap LLC' 'ORDER SELECTOR' 'FINANCIAL ADVISOR'
 'pharmacist' 'Patient Service Rep' 'Trade Development Manager'
 'Shop Manager' 'Escrow Manager' 'Psychiatric Technician'
 'Watch Center Specialist' 'social work' 'Associate Professor '
 'PRODUCTION SUPERVISOR' 'Lic. Psychiatric Technician' 'Technician'
 'Senior IT Manager' 'operater' 'Reg. Dental assistant' 'SA'
 'Office Staff' 'valley hospital' 'Driver' 'Accounts Payable'
 'Field Supervisor' 'judge' 'account coordinator ' 'Manager ' 'Teacher'
 'robbins mfg inc' 'Administrative Assistant' 'Assistant kiln operator'
 'executive chef' 'Scottsdale Physicians Group' 'Underwriter'
 'Program Engineer' 'owner' 'Education Assistant' 'Paraprofessional'
 'crew lead' 'Detention Sergeant' 'Material Master Analyst'
 'Instrument Tech' 'CUSTOMER SERVICE REPRESENTATIVE'
 'OR Charge Specialist' 'Nurse' 'Teacher Assistant' 'Pumper' 'machinist'
 'Executive Assistant' 'DRIVER' 'CAD Designer' 'Police Detective'
 'District Manager' 'Material Handler' 'Signal Systems Specialist'
 'Technology Manager' 'Manager' 'Laborer' 'VP' 'Clerk' 'General Motors'
 'counter manager' 'IT Manager' 'Editor/Author'
 'Talent and Operations Senior Director' 'Supervisor ' 'Dean'
 'Business Clerk' 'Receptionist' 'laboratory assistant '
 'Calibration Technician' 'Professor' 'RN' 'David Clark Company Inc'
 'Alliance Data Systems' 'inspector' 'Supervisor' 'office manager'
 'master electrician' 'Loan partner' 'Sales' 'US Postal Service'
 'Sirius Computer Solutions' 'Asst Director' 'Installation Coordinator'
 'receptionist' 'teacher, part time' 'Senior Inspector' 'Law Clerk'
 'Accounting Manager' 'Billing Analyst' 'Creative Agency Services Team'
 'Controller' 'EMT-B' 'Speech Language Pathologist' 'Asst Store Manager'
 'Human Resources Director' 'Patient Scheduler' 'Owner' 'driver'
 'Assistant to the Superintendent' 'Sous Chef' 'Staffing manager'
 'Public Service Professional' 'Truck driver' 'Rivabella Restaurant'
 'foreman' 'Customer service' 'Admininstrative Assistant' 'spa technician'
 'Pre Foreclosure Specialist ' 'massage therapit' 'Private Mortgage'
 'Registered Nurse' 'Portfolio Manager' 'Systems Accountant II'
 'BUSINESS DIRECTOR' 'teller ' 'engineer' 'Caseworker IV' 'TRUCK DRIVER'
 'Engineering Manager' 'Aviation Safety Inspector ' 'Analyst'
 'Gardening Specialist' 'Admin intern/asst principal'
 'Alliance Coal - Excel 3A' 'Estimator' 'Hydro Pulper'
 'Progressive Insurance ' 'PTA' 'receptionist ' 'technician'
 'Sr. Designer' 'CEO' 'TELECOMMUNICATIONS MECHANIC' 'Sr Manager'
 'Senior Account Manager' 'superintendent' 'city of farmington hills'
 'Boiler Plant Operated' 'Area sales manager'
 'Design Interiors/Tampa Wholesale Furnitu' 'South Island P S D'
 'HVAC Technician' 'wrap and pack agent' 'Ramp Agent'
 'Procurement Analyst' 'Analyst I' 'Hearing Officer' 'Systems Analyst'
 'communicator' 'Director, UME Evaluation' 'Systems administrator, Senior'
 'On Assignment' 'Broker' 'Personal Banker' 'machine operator' 'carman'
 'Executive Chef' 'Assistant Manager' 'RPM MORTGAGE'
 'Senior Valuation Specialist' 'Therapist' 'Lithographer'
 'Institutional Relationship Manager' 'District Manager Georgia/Florida '
 'CompuCom Systems' 'cat scan tech' 'School Psychologist'
 'Proposal Specialist' 'Finance & Procurement Analyst' 'Bodyman'
 'General Manager' 'industrail constuction' 'associate professor'
 'Process Clerk' 'Correctional officer' 'pumper' 'Waitress /manager'
 'Logistics' 'Corrections Officer' 'Section Chief' 'Duke University'
 'Business development' 'Engineer' 'Technician ' 'Darden, Inc'
 'Terminal Analyst' 'Enterprise Account Manager'
 'SUPERVISORY SPECIAL AGENT' 'Data Acquisition Coordinator'
 'Meadowbrook Insurance Group' 'Engineer Technician' 'Truck Driver'
 'Senior Delegation Specialist' 'BMC Software'
 'senior computer network engineer' 'VP/Business Developement'
 'Maintenance' 'pavao & sons construction' 'Dispatcher' 'Owner Operator'
 'Red Rocket Merchandising Corp' 'Computer Technician'
 'Maintenance supervisor' 'Warehouse' 'Senior Business Analyst'
 'SIU Adjuster' 'Finance Manager' 'Personal Trainer' 'Office Manager'
 'solo practitioner' 'VP/CTO' 'Parts Specialist'
 'Transplant Financial Coordinator' 'dentist' 'courier' 'Owner '
 'Sr. Property Manager ' 'Gracie Square Hospital' 'Amphastar Pharm.'
 'Marketing Manager' 'Financial Analyst' 'documentation specialist'
 'Appliance Department Manager' 'Staff nurse'
 'Information Technology Specialist' 'Foreman'
 'San Francisco Endoscopy Center' 'HEB ISD' 'Financial Services Manager'
 'vice pres' 'Maximum Towing' 'Evergreen Cemetery' 'social worker'
 'IT Administrator' 'Off Road Delivery (Fedex Ground)'
 'Regiona Sales Maanger' 'Associate' 'Bariatric Assistant'
 'Associate Account Manager' 'SALES' 'Consultant' 'Outside Sales'
 'President' 'Accounts Payable ' 'Produce Selectors'
 'farmers grain terminal,inc' 'Internal Revenue Service' 'Pharmacist'
 'Sutter Medical Foundation' 'PC/LAN Analyst 3' 'Foreman ' 'Staples'
 'Astrella Corporation' 'Electricisn' 'CAT Scan Tech'
 'Abbott Laboratories' 'Asst. Principal' 'Customer Logistics Manager'
 'plasma sprayer' 'Electrician' 'Service Agent' 'OneBlood Inc' 'sales'
 ""Kohl's"" 'Dispatcher trucking and Sales' 'Machine operator'
 'representative' 'Citrix Systems' 'Mortgage Loan Specialist'
 'Quarter Master' 'Officer Manager' 'Executive Legal Admin Asst'
 'Sales Representative' 'truck driver' 'Retail associate manager'
 'Remote Payment spec' 'Project Manager II' 'Senior Financial Analyst'
 'City of Albany' 'correctional Officer ' 'Claims adjuster'
 'Nursing Assistant' 'Power Foreman' 'Web developer'
 'Reservation Intl Agent' 'Forman' 'courtesy associate'
 'Program Representative I' 'Para' 'Contract Specialist'
 'Certified Nurse Assistant' 'Ramey' 'petsmart' 'Encore Merchandising'
 'Programmer ' 'Portfolio manager' 'Psychologist' 'Maple Press' 'Auditor '
 'Clinical Receptionist II' 'Project Mgr' 'Rail Operations Analyst'
 'maintenance' 'USAA' 'National Account Manager' 'Maintenance Control '
 'PROGRESS RAIL SERVICES' 'V. P. Claims, General Counsel'
 'Senior National Recruiter' 'Tractor Tailor Driver'
 'Shipping/Receiving Manager' 'Research Associate'
 'AVP, Loan Administrator' 'IT Consultant' 'Maison Dupuy Hotel'
 'Maintenance ' 'Associate Professor' 'Assistant'
 'Early Childhood Specialist' 'On-Site IT Support Engineer'
 'Associate Buyer' 'Sr Financial Analyst' 'QA Manager '
 'Administrative Director' 'Secretary/Bookkeeper ' 'Asst. MGR.'
 'Administrator' 'Hubner Manufacturing USA' 'Supervisor of Returns'
 'manager' 'Accountant' 'Director of Medical Records'
 'Electronics machine specialist ' 'Bookkeeper' 'Albertsons'
 'Resolution Specialist' 'Truck driver ' 'Sr. Account Executive'
 'Digital Chocolate, Inc.' 'Certified Ophthalmic Tecnician' 'SFM Security'
 'financial analysis' 'Production Manager' 'Head Server' 'mobile mechanic'
 'CSX TRANSPORTATION' 'Senior Community Manager' 'RN ' 'Salesman'
 'Prince Georges County Schools' 'TCS Program Director'
 'New Visions Foundation' 'Admin. Assistant' 'Novati Technologies, Inc'
 'Creative Director' 'Engineer ' 'Sr Production Control Clerk'
 'Owner/master nail technician' 'Field technician' 'Attorney'
 'Correction officer' 'Amber Ridge Assisted Living' 'President & CEO'
 'electrican' 'Mca' 'Senior Scientist' 'Exec Chef' 'Server'
 'ebm papst, Inc' 'OPERATOR' 'Ramp worker' 'Marketing Representative'
 'Machine Operator' 'Director of Plant Operations and Environ'
 'Sergeant of Police' 'Service tech' 'computer tech' 'Pharmacy Tech'
 'Mill Communications Manager' 'Operations Process Analyst' 'Lab manager'
 'Validation engineer ' 'Tech 2' 'ParentCorps Educator'
 'HR Business Partne' 'Claims Examiner ' 'Vice President' 'Cna'
 'Waiter/Manager' 'GM' 'Motor while operator' 'Senior youth counselor'
 'Sales account manager' 'Instructor' 'Learning & Development Facilitator'
 'Senior Vice President' 'Buyer' 'DATA ENTRY' 'general manager'
 'Director Supply Chain' 'home builder' 'UAB' 'Jail Administrator'
 'Account Executive ' 'Animals technician ' 'Corporate Credit Manager'
 '20th Century Fox' 'Design Engineer' 'Senior Manager, Operations '
 'Shop Mgr.' 'Paralegal' 'Quality Control' 'tow truck driver'
 'Business Development Manager' 'Owner operator' 'SERVICE MANAGER '
 'Medical Transcriptionist' ""Pro's Ranch Markets"" 'Owner/Operator'
 'West Pharmaceuticals' 'ES Supervisor'
 'Valley Anesthesiology Consultants' 'firefighter' 'Sr.Tech Project Mgmt'
 'Dept Director' 'Office Assistant' 'Training Sergeant'
 'Speech Pathologist' 'HTS Automation' 'Jefferson County Public Schools'
 'Dental Assistant' 'Ministrr' 'partner' 'Project Manager' 'LEASING AGENT'
 'teacher' 'Vice President, Engineering' 'Apple, Inc.' 'specialost'
 'Assistant Superintendent' 'sales manager' 'Production planner/buyer'
 'Resident Manager ' 'Operations Supervisor' 'Sr Field Engineer '
 'Road driver' 'Nurse Anesthetist' 'KIT Network Cabling' 'supervisor'
 'Compliance/General Manager' 'Mechanic' 'HR Generalist ' 'Franklin Glass'
 'Environmental planner' 'Sr. Technical Recruiter'
 'Senior Software Engineer' 'Lake Mary shell' 'Welder'
 'Director; Finance Manager' 'MDBAR LLC' 'Industrial Mechanic'
 'Customer Service supervisor' 'Supervisor Manufacturing'
 'Eastern Colorado Well Service' 'Clinician' 'Patient Access'
 'store manger' 'Flight attendant' 'SUPERVISOR' 'Coleman Cable Inc'
 'Assistant director of nursing' 'Senior Associate Pastor '
 'Claims processor' 'blackwell cisd' 'Correctional Officer'
 'Vice President ' 'Sr Software Engineer' 'steves place pizza'
 'Operating engineer ' 'van driver' 'Maintenance technician'
 'Triage Nurse' 'Texas Health and Human Service Commissio'
 'Utah Schools for the Deaf and the Blind' 'Electoral apprentice'
 'Forman Electrician' 'Attorney/Shareholder' 'Locomotive Engineer'
 'Associate Director of Annual Giving' ""Ringo's Casino"" 'EMT'
 'Police Lieutenant' 'System Analyst II' 'Purchasing Manager'
 'Peoples Health' 'Equipment Engineer' 'Galpin Motors Inc.'
 'armour and sons electric' 'Retreat Director' 'National Sales Manager'
 'Senior Accountant' 'Software Developer' 'Dr. Hal Shapiro DDS'
 'Location Manager ' 'C.S.T, 2' 'mechanic' 'SPECIAL AGENT' 'Contractor'
 'Skilled Nursing auth coordinator' 'Facilities' 'General manager'
 '2nd Grade Teacher' 'T1 Advisor' 'Clerk/HSE' 'Sr. Recruiter' 'OWNER'
 'installer' 'Member Service Rep' 'Lead Staffing Consultant' 'Coordinator'
 'Senior Logistics Manager' 'Baylor Medical Center of Carrollton'
 'Assistant Principal' 'Electronics Lead' 'Restaurant Manager'
 'AUTOCAD Specialist' 'Shift manager' 'Lead Project Manager' 'IMS'
 'veterans justice outreach specialist' 'NEW YORK CITY TRANSIT'
 'Bub Enterprises' 'Athletic Director' 'Customer Service Lead'
 'driver/ shipping receiving' 'Deputy sheriff'
 'Director of Retail Operations ' 'Assistant General Manager' ""Marc's""
 'Payroll Manager' 'Facilities Project Specialist'
 'Music & Worship Pastor' 'System Director, Infection Prevention'
 'printer' 'Mechanical Engineer' 'Executive Secretary' 'Pharmacy '
 'Key Account Manager' 'Administrative Assistant ' 'security Guard'
 'Store manager' 'Crouse Medical Practice' 'QC/ R&D Technician'
 'Athletic Trainer' 'Dental Hygienist' 'VP of Operations' 'Bus driver'
 'Teacher/Coach' 'Adjunct Transfer Advisor' 'Salez'
 'John Dempsey Hospital' 'cargill meat solutions'
 'Diversified Technical Services, Inc.' 'Unite Eurotherapy' 'QSPA '
 'Senior IT Analyst' 'Clinical lab scientist' 'Software Programmer'
 'Account Manager' 'County of Los Angeles' 'Aetna' 'mananger'
 'Technical Support' 'Development Associate' 'CPA. Funding Specialist '
 'Quality assurance laboratory personel ' 'Secretary'
 'Engineering Estimatro' 'Region Manager' 'GM/VP'
 'Johns Hopkins University' 'Owner/Operator - truck driver' 'sergeant'
 'Cad manager' 'Senior Pastor' 'Nuclear Supervisor' 'Sterile Processor'
 'Contracting officer' 'MLB.COM' 'Departmental Analyst'
 'Continues improvement engineer ' 'Operator' 'Clinical supervisor'
 'Clinical Services Rep' 'Director, Corporate Communication'
 'SGASI Production Staging' 'Judge' 'Claims Rep' 'Ophthalmic technician '
 'Director' 'Direct Care Councellor'
 'Outreach + Temporary Projects Manager' 'Director/Managing Partner'
 'Lead Photographer' 'Community Residential Services'
 'homeowner claims adjuster ' 'Administrative Officer'
 'Administrative Assitant' 'cnc machinist' 'Chha' 'Seargent First Class'
 'Administrative officer' 'VP of Sales' 'Oops Landfill Supervisor' 'Pct'
 'Bus Operator ' 'Insurance Sales' 'Utility worker'
 'Penmark Management LLC.' 'Security guard' 'Auditor'
 'Avionics Technician' 'City Manager' 'MANAGER '
 'Women and Infants Hospital' 'administrative'
 'Customer Care Operations Manger' 'Medical Courier' 'Staff Sergeant'
 'Gaylord Entertainment' 'Smithsonian Institution' 'UBS' 'Bakery manager'
 'PROJECT MANAGER' 'Wrapper' 'The University of Kansas University'
 'Research Assistant' 'Lab Supervisor' 'Operations Manager '
 'Loan officer' 'Dec/FSS' 'Raytheon' 'CCT, PSI, and others'
 'Instructional Technology Facilitator' 'President ' 'Territory Manager'
 'Regional Director' 'Family Resource Coordinator' 'SRTS Program Manager'
 'Social Worker' 'cutter operator' 'senior programmer'
 'Well site supervisor ' 'Registered Respiratory Therapist'
 'factory worker' 'agency nurse' 'FO Accountant' 'Health Worker'
 'Sales Support' 'Marketing Director' 'Tradition North America'
 'bar manager / event coordinator ' 'Program Technician'
 'Graphics Manager' 'Hardin Memorial Hospital'
 'Senior Training Specialist' 'Cnc lead' 'Software QA Analyst'
 'COMPUTER OPERATOR III' 'Certified Occupational Therapy Assistant'
 'Vice President Field Operations' 'Nurse Informatics Specialist'
 'Court Clerk' 'Regional Property Manager' 'Grocery manager'
 'CONSUMER LOAN UNDERWRITER' 'Senior IT Consultant'
 'Clinical Manager, Nurse' 'United Airlines' 'pharmacy' 'CBCInnovis'
 'Entertainment Server ' 'licensed banker' 'Cashier ' 'Analysis '
 'Mailhandler' 'drill foreman' 'Staff Assistant' 'Customer Servive'
 'plaza medical center of fort worth' 'Processor' 'Occupational Therapist'
 'Support Manager' 'owner/manager' 'Lead Certified Pharmacy Technician'
 'GaN' 'sacred heart medical center riverbend' 'Maintenance Mechanic'
 'Bulk Account Manager' 'ER Technician' 'Sebastopol Police Department'
 'LIUNA Training and Education Fund' 'Member Advisor' 'payroll'
 'Import Agent' 'Stores Clerk' 'Treasurer' 'BSA'
 'Nursing Resource Management coordinator' 'Kitchen supervisor '
 'Patient Accounts' 'WINDSONG RADIOLOGY GROUP'
 'SPECIAL PROJECTS SUPERVISOR' 'Team Lead' 'Inpatient Unit Manager'
 'Health Services Administrator' 'Fire Inspector' 'Medical Physicist'
 'Human Resources Mgr.' 'Allstate Insurance Company' 'Histotechnician'
 'Wooster Country Club' 'Morning Show Host'
 'Energy Solutions Operations Manager' 'Lead Heavy Equipment Operator '
 'Quik Stop Markets  Inc' 'rn' 'Custodian' 'Patterson Dental'
 'Congressional affairs' 'Sponsored Projects Analysts' 'Clerical'
 'Saels Executive' 'Consumer Account Analyst' 'Lead tech '
 'Cloud Engineer ' 'ramp agent' 'Air Craft Engineering Drafter'
 'Law enforcement officer' 'Actuarial Analyst' 'The Salvation Army'
 'Sales Manager' 'dentention service officer'
 'STAFF SERGEANT/ DRILL SERGEANT' 'Sedgwick' 'Flight Operations'
 'Superintendent' 'Courier' 'Analyst ' 'Sr. Programmer Analyst'
 'Cypress Communications/Broadvox' 'Herman Utility Man '
 'Operations manager' 'IT Engineer' 'Vice President of Education'
 'Firefighter ' 'CFO' 'Front Office Manager'
 'Interim Graffiti Removal Specialist' 'AO'
 'Vicepresident International Sales' 'Publix Supermarkets'
 'Administrative Specialist' 'contract mechanic' 'Assistant principal'
 'Team Member' 'Learning and Developing Specialist' 'Supervisor II']"
emp_length,71,0.071,object,"['10+ years' nan '5 years' '2 years' '3 years' '1 year' '4 years'
 '9 years' '< 1 year' '6 years' '7 years' '8 years']"
home_ownership,0,0,object,['MORTGAGE' 'OWN' 'RENT']
annual_inc,0,0,float64,
verification_status,0,0,object,['Not Verified' 'Verified' 'Source Verified']
issue_d,0,0,object,"['Mar-2017' 'Apr-2016' 'Jan-2015' 'Mar-2016' 'Sep-2015' 'Oct-2015'
 'Nov-2015' 'Sep-2013' 'Nov-2014' 'Oct-2013' 'Jun-2015' 'Apr-2017'
 'Aug-2016' 'Nov-2013' 'Feb-2016' 'Jul-2014' 'Mar-2015' 'Jan-2016'
 'Jul-2015' 'Apr-2014' 'Aug-2015' 'Jun-2016' 'Jun-2017' 'Oct-2016'
 'Oct-2014' 'Jun-2013' 'Dec-2015' 'Oct-2017' 'Apr-2013' 'Nov-2017'
 'Sep-2016' 'Jun-2014' 'Aug-2017' 'Jan-2018' 'Sep-2017' 'Apr-2015'
 'Jan-2017' 'Feb-2017' 'Dec-2013' 'Jul-2016' 'Oct-2012' 'May-2017'
 'Dec-2016' 'Feb-2014' 'Sep-2014' 'Jun-2018' 'Feb-2015' 'Oct-2009'
 'Jan-2014' 'Feb-2018' 'Apr-2011' 'Dec-2011' 'May-2015' 'Dec-2017'
 'Mar-2018' 'Jul-2013' 'Dec-2014' 'Nov-2016' 'May-2018' 'Jun-2012'
 'Nov-2011' 'Mar-2013' 'Jul-2012' 'May-2012' 'Jul-2017' 'Feb-2011'
 'Jan-2012' 'Aug-2013' 'Apr-2012' 'May-2016' 'Nov-2010' 'Apr-2018'
 'Mar-2014' 'Nov-2012' 'Jan-2013' 'Feb-2013' 'May-2014' 'Oct-2010'
 'May-2013' 'Aug-2014' 'Sep-2010' 'Aug-2018' 'Jul-2018' 'Mar-2010'
 'May-2009' 'Sep-2011' 'Dec-2012' 'Mar-2012' 'Mar-2011' 'Feb-2012'
 'May-2010' 'Feb-2010' 'Nov-2018' 'Aug-2009' 'Jun-2010' 'Sep-2009'
 'Jan-2011' 'Aug-2012']"
loan_status,0,0,object,['Fully Paid' 'Charged Off']
pymnt_plan,0,0,object,['n']
desc,927,0.927,object,"[nan
 '  Borrower added on 06/13/13 > I want to consolidate my credit cards and know it will be paid off in 3years.<br>Then my debt will be very low and my credit will be a lot better.<br>'
 ""  Borrower added on 10/30/13 > I have two credit cards with high interest and I'd like to pay them off.<br>""
 '  Borrower added on 10/04/12 > Debt Consolidation<br>'
 '  Borrower added on 08/28/13 > Been struggling to pay down the credit card. I figured a loan was the best option.<br>'
 ' 556476 added on 10/13/09 > This loan is for a 2006 Kia Sedona. Here is the link to the car.  http://1st-class-imports.ebizautos.com/detail-2006-kia-sedona-lx-4681982.html  This car is hard to find for under 13k anywhere else, and I have picked it up for 9500. I have already paid cash for it, but I want to get a little of the cash back for any emergencies.  I have a very stable job for 9+ yrs, a bachelor degree, and a wife that also works, and has a degree. I have no current debt other then a student loan and mortgage.   Full disclosure: I am also seeking the same loan in a few differently places. From my Credit Cards via balance transfers. From my current bank and from another P2P site. I will only take the loan that gives me the best terms. Or if no loan meets my satisfaction I will not take any, and just leave my cash balance a little lower then I like.  Thank you for your consideration.'
 '  Borrower added on 12/26/13 > Loan is to create 1 monly payment for all debt.  I am out of town working so this will make things so much easier.<br>'
 '  Borrower added on 12/02/11 > pay off two credit cards<br> Borrower added on 12/05/11 > again pay off two credit cards<br>'
 ""  Borrower added on 08/26/13 > I'd like to refinance my credit card accounts in order to execute a plan to eliminate all of my consumer debt in the most efficient, cost effective manner possible..<br>""
 ""  Borrower added on 07/05/13 > I'm submitting this loan application to pay-off and get rid of another personal loan with a very high interest rate (CashCall).<br>""
 ""  Borrower added on 06/14/12 > It is to consolidate our debts into one payment.<br><br>  Borrower added on 06/14/12 > By allowing us to consolidate our debt into one payment, would help us out tremendoulsy and give us a better financial future.  Thank you for your help.<br><br>  Borrower added on 06/14/12 > Also by allowing us to borrow this amount, it will help to assist us in paying off our daughter's braces.<br><br> Borrower added on 06/15/12 > This consolidation will also allow us to pay on our daughter's braces as well as pay off our primary vehicle.  Thank you so much for your help.  It will be gratefully appreciated.<br>""
 '  Borrower added on 06/19/13 > I need the loan to pay off high interest credit cards.<br>'
 '  Borrower added on 06/28/13 > Bill Consolation  to get a lower interest rate which Lending Club has,   so I can  pay off other  credit cards  , and close them out ,   which are at  a higher rate .<br>'
 '  Borrower added on 03/11/13 > Credit card refinancing<br><br> Borrower added on 03/11/13 > Credit card refinancing<br><br> Borrower added on 03/11/13 > Credit card refinancing<br><br>  Borrower added on 03/14/13 > Credit card refinancing<br><br> Borrower added on 03/14/13 > Credit card refinancing<br><br> Borrower added on 03/14/13 > Credit card refinancing<br>'
 '  Borrower added on 04/18/12 > would like to pay off all credit cards and have only 1 payment per month and make my life easier<br><br>  Borrower added on 04/27/12 > I will provide my credit report if you would like, I am always on time and never late, but would like to have 1 easy payment per month.  I work in the mortgage business, so I know the importance of timely payments and good credit<br><br>  Borrower added on 04/27/12 > I have been in the mortgage business for over 30 years in every aspect of the business, I understand completely the importance of good credit, I will never be late and more than likely pay off early to eventually be debt free<br>'
 ""  Borrower added on 12/17/11 > Attempting to consolidate credit card loan in order to have a predictable pay down period thereby increasing ability to begin saving.<br><br>  Borrower added on 12/20/11 > I plan to use the funds to consolidate 3 credit card accounts thereby making payoff more predictable and to allow for emergency fund savings to be implemented. I am a master's degree level professional with 15+ years of steady employment. My credit history is very strong with no late payments.<br>""
 '  Borrower added on 07/30/13 > Three years ago I bought a house. There were a lot of things I needed to purchase and I had some car repair bills as well. I ran up some credit card debt that I wish to pay off. The payments for this loan will be easy for me to make since I only have two more car payments. The payments are the same.<br>'
 '  Borrower added on 04/27/11 > Loan for surgery<br/>'
 '  Borrower added on 02/08/11 > This loan is to consolodate the small amount of debt I have (less than $1000), and to begin a savings platform for the future. I have worked full time with the same employer for three years and have no risk of job loss.<br/>'
 '  Borrower added on 07/07/12 > Had to survive on credit cards for college, now working and looking to get out of debt.<br>'
 '  Borrower added on 02/25/11 > Thank you everyone for funding my loan.<br/>'
 '  Borrower added on 10/31/12 > I bought a home for my family, I had saved up some money in case of an emergency. Two of our children had some financial problems and I helped them out leaving me short on savings. Now our heating went out. Just need a little help in order to catch up.<br>'
 '  Borrower added on 12/18/13 > I plan to use the loan to refinance credit cards. I have solid employment and recently have had responsibilities increased which help increase my earning potential.  This loan will help facilitate eliminate some high interest credits cards with a finite term loan.<br>'
 '  Borrower added on 03/17/14 > I want to consolidate my credit card debt, and remodel my basement.<br>'
 '  Borrower added on 01/12/13 > To pay off credit card debt<br>'
 '  Borrower added on 10/14/13 > I need to get off the credit card treadmill.  This will pay out all but Bank of America Visa which is 0% till Aug 2014, by which time it will be paid in full.  Thanks for your help.<br>'
 '  Borrower added on 01/23/13 > I would like to pay off my credit cards and make one monthly payment for this loan instead at a lower interest rate than most of my cards. This will improve my credit score.<br>'
 '  Borrower added on 05/21/13 > My loan would be to get out of debt faster an to have a lower intrest rate Stress free.<br>'
