Column,Value,Count,Proportion
grade,B,300,0.3
grade,C,278,0.278
grade,A,163,0.163
grade,D,146,0.146
grade,E,82,0.082
grade,F,24,0.024
grade,G,7,0.007
sub_grade,B4,67,0.067
sub_grade,B3,63,0.063
sub_grade,B5,62,0.062
sub_grade,C4,58,0.058
sub_grade,C3,57,0.057
sub_grade,C1,57,0.057
sub_grade,B2,56,0.056
sub_grade,C5,54,0.054
sub_grade,B1,52,0.052
sub_grade,C2,52,0.052
sub_grade,A5,42,0.042
sub_grade,D1,40,0.04
sub_grade,D3,37,0.037
sub_grade,A1,35,0.035
sub_grade,A4,32,0.032
sub_grade,D2,31,0.031
sub_grade,A2,28,0.028
sub_grade,A3,26,0.026
sub_grade,D4,25,0.025
sub_grade,E1,24,0.024
sub_grade,E2,18,0.018
sub_grade,E3,15,0.015
sub_grade,E4,13,0.013
sub_grade,D5,13,0.013
sub_grade,E5,12,0.012
sub_grade,F1,9,0.009
sub_grade,F3,5,0.005
sub_grade,F2,4,0.004
sub_grade,F4,3,0.003
sub_grade,F5,3,0.003
sub_grade,G1,3,0.003
sub_grade,G3,2,0.002
sub_grade,G4,1,0.001
sub_grade,G2,1,0.001
emp_title,Manager,19,0.019
emp_title,Teacher,17,0.017
emp_title,Owner,10,0.01
emp_title,Driver,8,0.008
emp_title,President,7,0.007
emp_title,Supervisor,7,0.007
emp_title,Registered Nurse,6,0.006
emp_title,Project Manager,5,0.005
emp_title,Truck Driver,5,0.005
emp_title,Administrator,4,0.004
emp_title,Engineer,4,0.004
emp_title,District Manager,4,0.004
emp_title,driver,4,0.004
emp_title,owner,4,0.004
emp_title,Sales,3,0.003
emp_title,Underwriter,3,0.003
emp_title,Server,3,0.003
emp_title,machinist,3,0.003
emp_title,Technician,3,0.003
emp_title,General Manager,3,0.003
emp_title,RN,3,0.003
emp_title,Accounting Manager,3,0.003
emp_title,Bookkeeper,3,0.003
emp_title,Office Manager,3,0.003
emp_title,Accountant,3,0.003
emp_title,technician,2,0.002
emp_title,CEO,2,0.002
emp_title,Customer service,2,0.002
emp_title,Executive Assistant,2,0.002
emp_title,Sr Financial Analyst,2,0.002
emp_title,Mechanical Engineer,2,0.002
emp_title,Assistant Principal,2,0.002
emp_title,supervisor,2,0.002
emp_title,Correctional Officer,2,0.002
emp_title,office manager,2,0.002
emp_title,Executive Chef,2,0.002
emp_title,IT Manager,2,0.002
emp_title,manager,2,0.002
emp_title,Senior Software Engineer,2,0.002
emp_title,Electrician,2,0.002
emp_title,CSX TRANSPORTATION,2,0.002
emp_title,Receptionist,2,0.002
emp_title,administrative,2,0.002
emp_title,sales,2,0.002
emp_title,Broker,2,0.002
emp_title,Laborer,2,0.002
emp_title,Maintenance ,2,0.002
emp_title,Estimator,2,0.002
emp_title,Athletic Trainer,2,0.002
emp_title,Bus driver,2,0.002
emp_title,Quality Control,2,0.002
emp_title,pharmacist,2,0.002
emp_title,general manager,2,0.002
emp_title,Program Manager,2,0.002
emp_title,Consultant,2,0.002
emp_title,Manager ,2,0.002
emp_title,teacher,2,0.002
emp_title,Vice President,2,0.002
emp_title,Sales Manager,2,0.002
emp_title,Foreman,2,0.002
emp_title,Accounts Payable,2,0.002
emp_title,Technical Support,1,0.001
emp_title,Baylor Medical Center of Carrollton,1,0.001
emp_title,Coordinator,1,0.001
emp_title,Senior Logistics Manager,1,0.001
emp_title,Electronics Lead,1,0.001
emp_title,Member Service Rep,1,0.001
emp_title,Restaurant Manager,1,0.001
emp_title,mananger,1,0.001
emp_title,Aetna,1,0.001
emp_title,AUTOCAD Specialist,1,0.001
emp_title,Shift manager,1,0.001
emp_title,County of Los Angeles,1,0.001
emp_title,Lead Staffing Consultant,1,0.001
emp_title,Sr. Recruiter,1,0.001
emp_title,installer,1,0.001
emp_title,OWNER,1,0.001
emp_title,Dr. Hal Shapiro DDS,1,0.001
emp_title,Location Manager ,1,0.001
emp_title,"C.S.T, 2",1,0.001
emp_title,mechanic,1,0.001
emp_title,Quality assurance laboratory personel ,1,0.001
emp_title,SPECIAL AGENT,1,0.001
emp_title,Contractor,1,0.001
emp_title,Skilled Nursing auth coordinator,1,0.001
emp_title,Facilities,1,0.001
emp_title,CPA. Funding Specialist ,1,0.001
emp_title,General manager,1,0.001
emp_title,2nd Grade Teacher,1,0.001
emp_title,T1 Advisor,1,0.001
emp_title,Clerk/HSE,1,0.001
emp_title,Development Associate,1,0.001
emp_title,Account Manager,1,0.001
emp_title,Crouse Medical Practice,1,0.001
emp_title,Software Programmer,1,0.001
emp_title,VP of Operations,1,0.001
emp_title,Teacher/Coach,1,0.001
emp_title,Marc's,1,0.001
emp_title,Payroll Manager,1,0.001
emp_title,Software Developer,1,0.001
emp_title,Facilities Project Specialist,1,0.001
emp_title,Music & Worship Pastor,1,0.001
emp_title,"System Director, Infection Prevention",1,0.001
emp_title,Dental Hygienist,1,0.001
emp_title,Lead Project Manager,1,0.001
emp_title,printer,1,0.001
emp_title,Executive Secretary,1,0.001
emp_title,Pharmacy ,1,0.001
emp_title,Key Account Manager,1,0.001
emp_title,Administrative Assistant ,1,0.001
emp_title,security Guard,1,0.001
emp_title,Store manager,1,0.001
emp_title,Assistant General Manager,1,0.001
emp_title,Director of Retail Operations ,1,0.001
emp_title,Adjunct Transfer Advisor,1,0.001
emp_title,Salez,1,0.001
emp_title,Clinical lab scientist,1,0.001
emp_title,IMS,1,0.001
emp_title,QC/ R&D Technician,1,0.001
emp_title,Senior IT Analyst,1,0.001
emp_title,NEW YORK CITY TRANSIT,1,0.001
emp_title,Bub Enterprises,1,0.001
emp_title,QSPA ,1,0.001
emp_title,Unite Eurotherapy,1,0.001
emp_title,Athletic Director,1,0.001
emp_title,Customer Service Lead,1,0.001
emp_title,driver/ shipping receiving,1,0.001
emp_title,"Diversified Technical Services, Inc.",1,0.001
emp_title,cargill meat solutions,1,0.001
emp_title,John Dempsey Hospital,1,0.001
emp_title,Deputy sheriff,1,0.001
emp_title,veterans justice outreach specialist,1,0.001
emp_title,Accounts Payable Mgr,1,0.001
emp_title,Senior Accountant,1,0.001
emp_title,HTS Automation,1,0.001
emp_title,Dental Assistant,1,0.001
emp_title,Ministrr,1,0.001
emp_title,partner,1,0.001
emp_title,LEASING AGENT,1,0.001
emp_title,"Vice President, Engineering",1,0.001
emp_title,"Apple, Inc.",1,0.001
emp_title,specialost,1,0.001
emp_title,Assistant Superintendent,1,0.001
emp_title,sales manager,1,0.001
emp_title,Production planner/buyer,1,0.001
emp_title,Resident Manager ,1,0.001
emp_title,Operations Supervisor,1,0.001
emp_title,Sr Field Engineer ,1,0.001
emp_title,Road driver,1,0.001
emp_title,Nurse Anesthetist,1,0.001
emp_title,KIT Network Cabling,1,0.001
emp_title,Compliance/General Manager,1,0.001
emp_title,Mechanic,1,0.001
emp_title,HR Generalist ,1,0.001
emp_title,Jefferson County Public Schools,1,0.001
emp_title,Speech Pathologist,1,0.001
emp_title,Environmental planner,1,0.001
emp_title,Training Sergeant,1,0.001
emp_title,20th Century Fox,1,0.001
emp_title,Design Engineer,1,0.001
emp_title,"Senior Manager, Operations ",1,0.001
emp_title,Shop Mgr.,1,0.001
emp_title,Paralegal,1,0.001
emp_title,tow truck driver,1,0.001
emp_title,Business Development Manager,1,0.001
emp_title,Owner operator,1,0.001
emp_title,SERVICE MANAGER ,1,0.001
emp_title,Medical Transcriptionist,1,0.001
emp_title,Pro's Ranch Markets,1,0.001
emp_title,Owner/Operator,1,0.001
emp_title,West Pharmaceuticals,1,0.001
emp_title,ES Supervisor,1,0.001
emp_title,Valley Anesthesiology Consultants,1,0.001
emp_title,firefighter,1,0.001
emp_title,Sr.Tech Project Mgmt,1,0.001
emp_title,Dept Director,1,0.001
emp_title,Office Assistant,1,0.001
emp_title,Franklin Glass,1,0.001
emp_title,Sr. Technical Recruiter,1,0.001
emp_title,National Sales Manager,1,0.001
emp_title,van driver,1,0.001
emp_title,Triage Nurse,1,0.001
emp_title,Texas Health and Human Service Commissio,1,0.001
emp_title,Engineering Estimatro,1,0.001
emp_title,Utah Schools for the Deaf and the Blind,1,0.001
emp_title,Electoral apprentice,1,0.001
emp_title,Forman Electrician,1,0.001
emp_title,Attorney/Shareholder,1,0.001
emp_title,Locomotive Engineer,1,0.001
emp_title,Associate Director of Annual Giving,1,0.001
emp_title,Ringo's Casino,1,0.001
emp_title,EMT,1,0.001
emp_title,Police Lieutenant,1,0.001
emp_title,System Analyst II,1,0.001
emp_title,Purchasing Manager,1,0.001
emp_title,Peoples Health,1,0.001
emp_title,Equipment Engineer,1,0.001
emp_title,Galpin Motors Inc.,1,0.001
emp_title,armour and sons electric,1,0.001
emp_title,Retreat Director,1,0.001
emp_title,Maintenance technician,1,0.001
emp_title,Operating engineer ,1,0.001
emp_title,Lake Mary shell,1,0.001
emp_title,steves place pizza,1,0.001
emp_title,Welder,1,0.001
emp_title,Director; Finance Manager,1,0.001
emp_title,MDBAR LLC,1,0.001
emp_title,Industrial Mechanic,1,0.001
emp_title,Customer Service supervisor,1,0.001
emp_title,Supervisor Manufacturing,1,0.001
emp_title,Eastern Colorado Well Service,1,0.001
emp_title,Clinician,1,0.001
emp_title,Patient Access,1,0.001
emp_title,store manger,1,0.001
emp_title,Flight attendant,1,0.001
emp_title,SUPERVISOR,1,0.001
emp_title,Coleman Cable Inc,1,0.001
emp_title,Assistant director of nursing,1,0.001
emp_title,Senior Associate Pastor ,1,0.001
emp_title,Claims processor,1,0.001
emp_title,blackwell cisd,1,0.001
emp_title,Vice President ,1,0.001
emp_title,Sr Software Engineer,1,0.001
emp_title,Secretary,1,0.001
emp_title,SGASI Production Staging,1,0.001
emp_title,Region Manager,1,0.001
emp_title,Nursing Resource Management coordinator,1,0.001
emp_title,ER Technician,1,0.001
emp_title,Sebastopol Police Department,1,0.001
emp_title,LIUNA Training and Education Fund,1,0.001
emp_title,Member Advisor,1,0.001
emp_title,payroll,1,0.001
emp_title,Import Agent,1,0.001
emp_title,Stores Clerk,1,0.001
emp_title,Treasurer,1,0.001
emp_title,BSA,1,0.001
emp_title,Kitchen supervisor ,1,0.001
emp_title,Maintenance Mechanic,1,0.001
emp_title,Patient Accounts,1,0.001
emp_title,WINDSONG RADIOLOGY GROUP,1,0.001
emp_title,SPECIAL PROJECTS SUPERVISOR,1,0.001
emp_title,Team Lead,1,0.001
emp_title,Inpatient Unit Manager,1,0.001
emp_title,Health Services Administrator,1,0.001
emp_title,Fire Inspector,1,0.001
emp_title,Medical Physicist,1,0.001
emp_title,Human Resources Mgr.,1,0.001
emp_title,Bulk Account Manager,1,0.001
emp_title,sacred heart medical center riverbend,1,0.001
emp_title,GM/VP,1,0.001
emp_title,Analysis ,1,0.001
emp_title,CONSUMER LOAN UNDERWRITER,1,0.001
emp_title,Senior IT Consultant,1,0.001
emp_title,"Clinical Manager, Nurse",1,0.001
emp_title,United Airlines,1,0.001
emp_title,pharmacy,1,0.001
emp_title,CBCInnovis,1,0.001
emp_title,Entertainment Server ,1,0.001
emp_title,licensed banker,1,0.001
emp_title,Cashier ,1,0.001
emp_title,Mailhandler,1,0.001
emp_title,GaN,1,0.001
emp_title,drill foreman,1,0.001
emp_title,Staff Assistant,1,0.001
emp_title,Customer Servive,1,0.001
emp_title,plaza medical center of fort worth,1,0.001
emp_title,Processor,1,0.001
emp_title,Occupational Therapist,1,0.001
emp_title,Support Manager,1,0.001
emp_title,owner/manager,1,0.001
emp_title,Lead Certified Pharmacy Technician,1,0.001
emp_title,Allstate Insurance Company,1,0.001
emp_title,Histotechnician,1,0.001
emp_title,Wooster Country Club,1,0.001
emp_title,CFO,1,0.001
emp_title,Courier,1,0.001
emp_title,Analyst ,1,0.001
emp_title,Sr. Programmer Analyst,1,0.001
emp_title,Cypress Communications/Broadvox,1,0.001
emp_title,Herman Utility Man ,1,0.001
emp_title,Operations manager,1,0.001
emp_title,IT Engineer,1,0.001
emp_title,Vice President of Education,1,0.001
emp_title,Firefighter ,1,0.001
emp_title,Front Office Manager,1,0.001
emp_title,Morning Show Host,1,0.001
emp_title,Interim Graffiti Removal Specialist,1,0.001
emp_title,AO,1,0.001
emp_title,Vicepresident International Sales,1,0.001
emp_title,Publix Supermarkets,1,0.001
emp_title,Administrative Specialist,1,0.001
emp_title,contract mechanic,1,0.001
emp_title,Assistant principal,1,0.001
emp_title,Team Member,1,0.001
emp_title,Learning and Developing Specialist,1,0.001
emp_title,Superintendent,1,0.001
emp_title,Flight Operations,1,0.001
emp_title,Sedgwick,1,0.001
emp_title,STAFF SERGEANT/ DRILL SERGEANT,1,0.001
emp_title,Energy Solutions Operations Manager,1,0.001
emp_title,Lead Heavy Equipment Operator ,1,0.001
emp_title,Quik Stop Markets  Inc,1,0.001
emp_title,rn,1,0.001
emp_title,Custodian,1,0.001
emp_title,Patterson Dental,1,0.001
emp_title,Congressional affairs,1,0.001
emp_title,Sponsored Projects Analysts,1,0.001
emp_title,Clerical,1,0.001
emp_title,Saels Executive,1,0.001
emp_title,Consumer Account Analyst,1,0.001
emp_title,Lead tech ,1,0.001
emp_title,Cloud Engineer ,1,0.001
emp_title,ramp agent,1,0.001
emp_title,Air Craft Engineering Drafter,1,0.001
emp_title,Law enforcement officer,1,0.001
emp_title,Actuarial Analyst,1,0.001
emp_title,The Salvation Army,1,0.001
emp_title,dentention service officer,1,0.001
emp_title,Grocery manager,1,0.001
emp_title,Regional Property Manager,1,0.001
emp_title,Court Clerk,1,0.001
emp_title,VP of Sales,1,0.001
emp_title,Lead Photographer,1,0.001
emp_title,Community Residential Services,1,0.001
emp_title,homeowner claims adjuster ,1,0.001
emp_title,Administrative Officer,1,0.001
emp_title,Administrative Assitant,1,0.001
emp_title,cnc machinist,1,0.001
emp_title,Chha,1,0.001
emp_title,Seargent First Class,1,0.001
emp_title,Administrative officer,1,0.001
emp_title,Oops Landfill Supervisor,1,0.001
emp_title,Women and Infants Hospital,1,0.001
emp_title,Pct,1,0.001
emp_title,Bus Operator ,1,0.001
emp_title,Insurance Sales,1,0.001
emp_title,Utility worker,1,0.001
emp_title,Penmark Management LLC.,1,0.001
emp_title,Security guard,1,0.001
emp_title,Auditor,1,0.001
emp_title,Avionics Technician,1,0.001
emp_title,City Manager,1,0.001
emp_title,Director/Managing Partner,1,0.001
emp_title,Outreach + Temporary Projects Manager,1,0.001
emp_title,Direct Care Councellor,1,0.001
emp_title,Director,1,0.001
emp_title,Johns Hopkins University,1,0.001
emp_title,Owner/Operator - truck driver,1,0.001
emp_title,sergeant,1,0.001
emp_title,Cad manager,1,0.001
emp_title,Senior Pastor,1,0.001
emp_title,Nuclear Supervisor,1,0.001
emp_title,Sterile Processor,1,0.001
emp_title,Contracting officer,1,0.001
emp_title,MLB.COM,1,0.001
emp_title,Departmental Analyst,1,0.001
emp_title,Continues improvement engineer ,1,0.001
emp_title,Operator,1,0.001
emp_title,Clinical supervisor,1,0.001
emp_title,Clinical Services Rep,1,0.001
emp_title,"Director, Corporate Communication",1,0.001
emp_title,Animals technician ,1,0.001
emp_title,Judge,1,0.001
emp_title,Claims Rep,1,0.001
emp_title,Ophthalmic technician ,1,0.001
emp_title,MANAGER ,1,0.001
emp_title,Customer Care Operations Manger,1,0.001
emp_title,Nurse Informatics Specialist,1,0.001
emp_title,Tradition North America,1,0.001
emp_title,senior programmer,1,0.001
emp_title,Well site supervisor ,1,0.001
emp_title,Registered Respiratory Therapist,1,0.001
emp_title,factory worker,1,0.001
emp_title,agency nurse,1,0.001
emp_title,FO Accountant,1,0.001
emp_title,Health Worker,1,0.001
emp_title,Sales Support,1,0.001
emp_title,Marketing Director,1,0.001
emp_title,bar manager / event coordinator ,1,0.001
emp_title,Medical Courier,1,0.001
emp_title,Program Technician,1,0.001
emp_title,Graphics Manager,1,0.001
emp_title,Hardin Memorial Hospital,1,0.001
emp_title,Senior Training Specialist,1,0.001
emp_title,Cnc lead,1,0.001
emp_title,Software QA Analyst,1,0.001
emp_title,COMPUTER OPERATOR III,1,0.001
emp_title,Certified Occupational Therapy Assistant,1,0.001
emp_title,Vice President Field Operations,1,0.001
emp_title,cutter operator,1,0.001
emp_title,Social Worker,1,0.001
emp_title,SRTS Program Manager,1,0.001
emp_title,Family Resource Coordinator,1,0.001
emp_title,Staff Sergeant,1,0.001
emp_title,Gaylord Entertainment,1,0.001
emp_title,Smithsonian Institution,1,0.001
emp_title,UBS,1,0.001
emp_title,Bakery manager,1,0.001
emp_title,PROJECT MANAGER,1,0.001
emp_title,Wrapper,1,0.001
emp_title,The University of Kansas University,1,0.001
emp_title,Research Assistant,1,0.001
emp_title,Lab Supervisor,1,0.001
emp_title,Operations Manager ,1,0.001
emp_title,Loan officer,1,0.001
emp_title,Dec/FSS,1,0.001
emp_title,Raytheon,1,0.001
emp_title,"CCT, PSI, and others",1,0.001
emp_title,Instructional Technology Facilitator,1,0.001
emp_title,President ,1,0.001
emp_title,Territory Manager,1,0.001
emp_title,Regional Director,1,0.001
emp_title,Corporate Credit Manager,1,0.001
emp_title,Operations Process Analyst,1,0.001
emp_title,Account Executive ,1,0.001
emp_title,TELECOMMUNICATIONS MECHANIC,1,0.001
emp_title,Senior Account Manager,1,0.001
emp_title,superintendent,1,0.001
emp_title,city of farmington hills,1,0.001
emp_title,Boiler Plant Operated,1,0.001
emp_title,Area sales manager,1,0.001
emp_title,Design Interiors/Tampa Wholesale Furnitu,1,0.001
emp_title,South Island P S D,1,0.001
emp_title,HVAC Technician,1,0.001
emp_title,wrap and pack agent,1,0.001
emp_title,Ramp Agent,1,0.001
emp_title,Procurement Analyst,1,0.001
emp_title,Analyst I,1,0.001
emp_title,Hearing Officer,1,0.001
emp_title,Systems Analyst,1,0.001
emp_title,communicator,1,0.001
emp_title,"Director, UME Evaluation",1,0.001
emp_title,"Systems administrator, Senior",1,0.001
emp_title,On Assignment,1,0.001
emp_title,Personal Banker,1,0.001
emp_title,Sr Manager,1,0.001
emp_title,Sr. Designer,1,0.001
emp_title,carman,1,0.001
emp_title,receptionist ,1,0.001
emp_title,Pre Foreclosure Specialist ,1,0.001
emp_title,massage therapit,1,0.001
emp_title,Private Mortgage,1,0.001
emp_title,Portfolio Manager,1,0.001
emp_title,Systems Accountant II,1,0.001
emp_title,BUSINESS DIRECTOR,1,0.001
emp_title,teller ,1,0.001
emp_title,engineer,1,0.001
emp_title,Caseworker IV,1,0.001
emp_title,TRUCK DRIVER,1,0.001
emp_title,Engineering Manager,1,0.001
emp_title,Aviation Safety Inspector ,1,0.001
emp_title,Analyst,1,0.001
emp_title,Gardening Specialist,1,0.001
emp_title,Admin intern/asst principal,1,0.001
emp_title,Alliance Coal - Excel 3A,1,0.001
emp_title,Hydro Pulper,1,0.001
emp_title,Progressive Insurance ,1,0.001
emp_title,PTA,1,0.001
emp_title,machine operator,1,0.001
emp_title,Assistant Manager,1,0.001
emp_title,Jail Administrator,1,0.001
